level1_name,level1_id,level2_name,level2_id,level3_name,level3_id,level4_name,level4_id,cat
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Sukiyaki Restaurants,55a59bace4b013909087cb12,Sukiyaki Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Sushi Restaurants,4bf58dd8d48988d1d2941735,Sushi Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Takoyaki Places,55a59bace4b013909087cb2d,Takoyaki Places
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Tempura Restaurants,55a59a31e4b013909087cb00,Tempura Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Tonkatsu Restaurants,55a59af1e4b013909087cb03,Tonkatsu Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Udon Restaurants,55a59bace4b013909087cb2a,Udon Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Unagi Restaurants,55a59bace4b013909087cb0f,Unagi Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Wagashi Places,55a59bace4b013909087cb33,Wagashi Places
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Yakitori Restaurants,55a59bace4b013909087cb09,Yakitori Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Yoshoku Restaurants,55a59bace4b013909087cb36,Yoshoku Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,-,-,Japanese Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Korean Restaurants,4bf58dd8d48988d113941735,Bossam/Jokbal Restaurants,56aa371be4b08b9a8d5734e4,Bossam/Jokbal Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Korean Restaurants,4bf58dd8d48988d113941735,Bunsik Restaurants,56aa371be4b08b9a8d5734f0,Bunsik Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Korean Restaurants,4bf58dd8d48988d113941735,Gukbap Restaurants,56aa371be4b08b9a8d5734e7,Gukbap Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Korean Restaurants,4bf58dd8d48988d113941735,Janguh Restaurants,56aa371be4b08b9a8d5734ed,Janguh Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Korean Restaurants,4bf58dd8d48988d113941735,Samgyetang Restaurants,56aa371be4b08b9a8d5734ea,Samgyetang Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Korean Restaurants,4bf58dd8d48988d113941735,-,-,Korean Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Malay Restaurants,4bf58dd8d48988d156941735,-,-,Malay Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Mongolian Restaurants,4eb1d5724b900d56c88a45fe,-,-,Mongolian Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Noodle Houses,4bf58dd8d48988d1d1941735,-,-,Noodle Houses
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Satay Restaurants,56aa371be4b08b9a8d57350e,-,-,Satay Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Thai Restaurants,4bf58dd8d48988d149941735,Som Tum Restaurants,56aa371be4b08b9a8d573502,Som Tum Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Thai Restaurants,4bf58dd8d48988d149941735,-,-,Thai Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Tibetan Restaurants,52af39fb3cf9994f4e043be9,-,-,Tibetan Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Vietnamese Restaurants,4bf58dd8d48988d14a941735,-,-,Vietnamese Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,-,-,-,-,Asian Restaurants
Food,4d4b7105d754a06374d81259,Australian Restaurants,4bf58dd8d48988d169941735,-,-,-,-,Australian Restaurants
Food,4d4b7105d754a06374d81259,Austrian Restaurants,52e81612bcbc57f1066b7a01,-,-,-,-,Austrian Restaurants
Food,4d4b7105d754a06374d81259,Bagel Shops,4bf58dd8d48988d179941735,-,-,-,-,Bagel Shops
Food,4d4b7105d754a06374d81259,Bakeries,4bf58dd8d48988d16a941735,-,-,-,-,Bakeries
Food,4d4b7105d754a06374d81259,BBQ Joints,4bf58dd8d48988d1df931735,-,-,-,-,BBQ Joints
Food,4d4b7105d754a06374d81259,Belgian Restaurants,52e81612bcbc57f1066b7a02,-,-,-,-,Belgian Restaurants
Food,4d4b7105d754a06374d81259,Bistros,52e81612bcbc57f1066b79f1,-,-,-,-,Bistros
Food,4d4b7105d754a06374d81259,Brazilian Restaurants,4bf58dd8d48988d16b941735,Acai Houses,5294c7523cf9994f4e043a62,-,-,Acai Houses
Food,4d4b7105d754a06374d81259,Brazilian Restaurants,4bf58dd8d48988d16b941735,Baiano Restaurants,52939ae13cf9994f4e043a3b,-,-,Baiano Restaurants
Food,4d4b7105d754a06374d81259,Brazilian Restaurants,4bf58dd8d48988d16b941735,Central Brazilian Restaurants,52939a9e3cf9994f4e043a36,-,-,Central Brazilian Restaurants
Food,4d4b7105d754a06374d81259,Brazilian Restaurants,4bf58dd8d48988d16b941735,Churrascarias,52939a643cf9994f4e043a33,-,-,Churrascarias
Food,4d4b7105d754a06374d81259,Brazilian Restaurants,4bf58dd8d48988d16b941735,Empada Houses,5294c55c3cf9994f4e043a61,-,-,Empada Houses
Food,4d4b7105d754a06374d81259,Brazilian Restaurants,4bf58dd8d48988d16b941735,Goiano Restaurants,52939af83cf9994f4e043a3d,-,-,Goiano Restaurants
Food,4d4b7105d754a06374d81259,Brazilian Restaurants,4bf58dd8d48988d16b941735,Mineiro Restaurants,52939aed3cf9994f4e043a3c,-,-,Mineiro Restaurants
Food,4d4b7105d754a06374d81259,Brazilian Restaurants,4bf58dd8d48988d16b941735,Northeastern Brazilian Restaurants,52939aae3cf9994f4e043a37,-,-,Northeastern Brazilian Restaurants
Food,4d4b7105d754a06374d81259,Brazilian Restaurants,4bf58dd8d48988d16b941735,Northern Brazilian Restaurants,52939ab93cf9994f4e043a38,-,-,Northern Brazilian Restaurants
Food,4d4b7105d754a06374d81259,Brazilian Restaurants,4bf58dd8d48988d16b941735,Pastelarias,5294cbda3cf9994f4e043a63,-,-,Pastelarias
Food,4d4b7105d754a06374d81259,Brazilian Restaurants,4bf58dd8d48988d16b941735,Southeastern Brazilian Restaurants,52939ac53cf9994f4e043a39,-,-,Southeastern Brazilian Restaurants
Food,4d4b7105d754a06374d81259,Brazilian Restaurants,4bf58dd8d48988d16b941735,Southern Brazilian Restaurants,52939ad03cf9994f4e043a3a,-,-,Southern Brazilian Restaurants
Food,4d4b7105d754a06374d81259,Brazilian Restaurants,4bf58dd8d48988d16b941735,Tapiocarias,52939a7d3cf9994f4e043a34,-,-,Tapiocarias
Food,4d4b7105d754a06374d81259,Brazilian Restaurants,4bf58dd8d48988d16b941735,-,-,-,-,Brazilian Restaurants
Food,4d4b7105d754a06374d81259,Breakfast Spots,4bf58dd8d48988d143941735,-,-,-,-,Breakfast Spots
Food,4d4b7105d754a06374d81259,Bubble Tea Shops,52e81612bcbc57f1066b7a0c,-,-,-,-,Bubble Tea Shops
Food,4d4b7105d754a06374d81259,Buffets,52e81612bcbc57f1066b79f4,-,-,-,-,Buffets
Food,4d4b7105d754a06374d81259,Burger Joints,4bf58dd8d48988d16c941735,-,-,-,-,Burger Joints
Food,4d4b7105d754a06374d81259,Cafés,4bf58dd8d48988d16d941735,-,-,-,-,Cafés
Food,4d4b7105d754a06374d81259,Cafeterias,4bf58dd8d48988d128941735,-,-,-,-,Cafeterias
Food,4d4b7105d754a06374d81259,Cajun / Creole Restaurants,4bf58dd8d48988d17a941735,-,-,-,-,Cajun / Creole Restaurants
Food,4d4b7105d754a06374d81259,Caribbean Restaurants,4bf58dd8d48988d144941735,-,-,-,-,Caribbean Restaurants
Food,4d4b7105d754a06374d81259,Caucasian Restaurants,5293a7d53cf9994f4e043a45,-,-,-,-,Caucasian Restaurants
Food,4d4b7105d754a06374d81259,Coffee Shops,4bf58dd8d48988d1e0931735,-,-,-,-,Coffee Shops
Food,4d4b7105d754a06374d81259,Comfort Food Restaurants,52e81612bcbc57f1066b7a00,-,-,-,-,Comfort Food Restaurants
Food,4d4b7105d754a06374d81259,Creperies,52e81612bcbc57f1066b79f2,-,-,-,-,Creperies
Food,4d4b7105d754a06374d81259,Czech Restaurants,52f2ae52bcbc57f1066b8b81,-,-,-,-,Czech Restaurants
Food,4d4b7105d754a06374d81259,Delis / Bodegas,4bf58dd8d48988d146941735,-,-,-,-,Delis / Bodegas
Food,4d4b7105d754a06374d81259,Dessert Shops,4bf58dd8d48988d1d0941735,Cupcake Shops,4bf58dd8d48988d1bc941735,-,-,Cupcake Shops
Food,4d4b7105d754a06374d81259,Dessert Shops,4bf58dd8d48988d1d0941735,Frozen Yogurt,512e7cae91d4cbb4e5efe0af,-,-,Frozen Yogurt
Food,4d4b7105d754a06374d81259,Dessert Shops,4bf58dd8d48988d1d0941735,Ice Cream Shops,4bf58dd8d48988d1c9941735,-,-,Ice Cream Shops
Food,4d4b7105d754a06374d81259,Dessert Shops,4bf58dd8d48988d1d0941735,Pie Shops,52e81612bcbc57f1066b7a0a,-,-,Pie Shops
Food,4d4b7105d754a06374d81259,Dessert Shops,4bf58dd8d48988d1d0941735,-,-,-,-,Dessert Shops
Food,4d4b7105d754a06374d81259,Diners,4bf58dd8d48988d147941735,-,-,-,-,Diners
Food,4d4b7105d754a06374d81259,Donut Shops,4bf58dd8d48988d148941735,-,-,-,-,Donut Shops
Food,4d4b7105d754a06374d81259,Dumpling Restaurants,4bf58dd8d48988d108941735,-,-,-,-,Dumpling Restaurants
Food,4d4b7105d754a06374d81259,Eastern European Restaurants,4bf58dd8d48988d109941735,Belarusian Restaurants,52e928d0bcbc57f1066b7e97,-,-,Belarusian Restaurants
Food,4d4b7105d754a06374d81259,Eastern European Restaurants,4bf58dd8d48988d109941735,Bulgarian Restaurants,56aa371be4b08b9a8d5734f3,-,-,Bulgarian Restaurants
Food,4d4b7105d754a06374d81259,Eastern European Restaurants,4bf58dd8d48988d109941735,Romanian Restaurants,52960bac3cf9994f4e043ac4,-,-,Romanian Restaurants
Food,4d4b7105d754a06374d81259,Eastern European Restaurants,4bf58dd8d48988d109941735,Tatar Restaurants,52e928d0bcbc57f1066b7e98,-,-,Tatar Restaurants
Food,4d4b7105d754a06374d81259,Eastern European Restaurants,4bf58dd8d48988d109941735,-,-,-,-,Eastern European Restaurants
Food,4d4b7105d754a06374d81259,English Restaurants,52e81612bcbc57f1066b7a05,-,-,-,-,English Restaurants
Food,4d4b7105d754a06374d81259,Falafel Restaurants,4bf58dd8d48988d10b941735,-,-,-,-,Falafel Restaurants
Food,4d4b7105d754a06374d81259,Fast Food Restaurants,4bf58dd8d48988d16e941735,-,-,-,-,Fast Food Restaurants
Food,4d4b7105d754a06374d81259,Fish & Chips Shops,4edd64a0c7ddd24ca188df1a,-,-,-,-,Fish & Chips Shops
Food,4d4b7105d754a06374d81259,Fondue Restaurants,52e81612bcbc57f1066b7a09,-,-,-,-,Fondue Restaurants
Food,4d4b7105d754a06374d81259,Food Courts,4bf58dd8d48988d120951735,-,-,-,-,Food Courts
Food,4d4b7105d754a06374d81259,Food Stands,56aa371be4b08b9a8d57350b,-,-,-,-,Food Stands
Food,4d4b7105d754a06374d81259,Food Trucks,4bf58dd8d48988d1cb941735,-,-,-,-,Food Trucks
Food,4d4b7105d754a06374d81259,French Restaurants,4bf58dd8d48988d10c941735,-,-,-,-,French Restaurants
Food,4d4b7105d754a06374d81259,Fried Chicken Joints,4d4ae6fc7a7b7dea34424761,-,-,-,-,Fried Chicken Joints
Food,4d4b7105d754a06374d81259,Friteries,55d25775498e9f6a0816a37a,-,-,-,-,Friteries
Food,4d4b7105d754a06374d81259,Gastropubs,4bf58dd8d48988d155941735,-,-,-,-,Gastropubs
Food,4d4b7105d754a06374d81259,German Restaurants,4bf58dd8d48988d10d941735,Apple Wine Pubs,56aa371ce4b08b9a8d573583,-,-,Apple Wine Pubs
Food,4d4b7105d754a06374d81259,German Restaurants,4bf58dd8d48988d10d941735,Bavarian Restaurants,56aa371ce4b08b9a8d573572,-,-,Bavarian Restaurants
Food,4d4b7105d754a06374d81259,German Restaurants,4bf58dd8d48988d10d941735,Bratwurst Joints,56aa371ce4b08b9a8d57358e,-,-,Bratwurst Joints
Food,4d4b7105d754a06374d81259,German Restaurants,4bf58dd8d48988d10d941735,Currywurst Joints,56aa371ce4b08b9a8d57358b,-,-,Currywurst Joints
Food,4d4b7105d754a06374d81259,German Restaurants,4bf58dd8d48988d10d941735,Franconian Restaurants,56aa371ce4b08b9a8d573574,-,-,Franconian Restaurants
Food,4d4b7105d754a06374d81259,German Restaurants,4bf58dd8d48988d10d941735,German Pop-Up Restaurants,56aa371ce4b08b9a8d573592,-,-,German Pop-Up Restaurants
Food,4d4b7105d754a06374d81259,German Restaurants,4bf58dd8d48988d10d941735,Palatine Restaurants,56aa371ce4b08b9a8d573578,-,-,Palatine Restaurants
Food,4d4b7105d754a06374d81259,German Restaurants,4bf58dd8d48988d10d941735,Rhenisch Restaurants,56aa371ce4b08b9a8d57357b,-,-,Rhenisch Restaurants
Food,4d4b7105d754a06374d81259,German Restaurants,4bf58dd8d48988d10d941735,Schnitzel Restaurants,56aa371ce4b08b9a8d573587,-,-,Schnitzel Restaurants
Food,4d4b7105d754a06374d81259,German Restaurants,4bf58dd8d48988d10d941735,Silesian Restaurants,56aa371ce4b08b9a8d57357f,-,-,Silesian Restaurants
